index,date,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,retweets,favorites,word_count,positive,negative,neutral,s&p_%change,s&p_up/down
134,2017-05-25,4,1,0,6.085944444444444,191.06,38592,151135,179,4,0,0,0.002295055865639431,up
135,2017-05-26,4,0,0,5.895577755577756,221.26000000000005,46043,230403,212,2,0,2,0.000546725201905153,up
136,2017-05-30,5,2,0,5.212935470085471,315.64,62303,211121,356,0,1,4,0.0005141624020304196,up
137,2017-05-31,9,0,1,5.563893246187364,449.73,296406,803193,472,5,1,3,-0.00158543907200028,down
138,2017-06-01,5,0,0,5.949198301698301,280.7,80764,350138,284,4,0,1,0.005965333382154893,up
139,2017-06-02,10,8,1,5.677630240130241,466.29999999999995,106061,203727,479,5,1,3,0.003204089577128665,up
140,2017-06-05,8,0,0,5.569482725607726,506.97999999999996,113588,494993,532,4,0,4,-0.0007096392876649332,down
141,2017-06-06,10,2,0,5.246270612720614,658.76,187825,607991,729,2,2,6,-0.0010649380255375383,down
142,2017-06-07,5,0,0,5.691261538461539,235.38000000000005,66426,317191,245,3,0,2,0.00045635291783645,up
143,2017-06-09,7,1,0,5.7939098124098125,420.0400000000001,105400,423634,430,5,1,1,-0.0018961960945879268,down
144,2017-06-12,8,2,0,5.523547286047287,358.14,81199,359125,390,3,2,2,0.0014469018126568227,up
145,2017-06-13,10,1,0,5.5403339549339545,555.36,144542,562513,600,4,1,5,0.0025471709835558753,up
146,2017-06-14,4,1,0,6.1102083333333335,201.00000000000003,64677,311897,194,4,0,0,-0.0023857096675191643,down
147,2017-06-15,7,0,0,5.5788800088800095,359.79999999999995,186266,718990,383,4,0,2,0.003432173210805698,up
148,2017-06-16,7,0,0,5.550908163265307,382.37999999999994,131566,563222,413,2,2,3,0.0007855711521099472,up
149,2017-06-19,13,2,3,5.519583333333333,571.84,101791,383712,617,5,2,6,0.004466607349342414,up
150,2017-06-20,6,1,0,5.404737685560054,482.35999999999996,83303,315671,505,2,1,3,-0.005561719491659952,down
151,2017-06-21,9,0,0,6.062620476110673,543.12,125539,642256,519,8,0,1,-0.0015168026657163636,down
152,2017-06-22,13,0,0,5.667704871799894,706.71,195642,822551,742,8,1,4,-0.001189752242797994,down
153,2017-06-23,7,2,1,5.877320346320347,269.2,64683,291250,265,6,0,1,0.0014992492337404795,up
154,2017-06-26,9,2,0,5.502177458344125,514.89,135149,514850,548,4,1,4,-0.0017394364560181725,down
155,2017-06-27,14,7,0,5.21748890791748,783.4399999999999,185497,588236,863,4,5,5,-0.006961345455643266,down
156,2017-06-28,9,1,0,5.577869895536562,585.44,100790,413160,607,5,1,3,0.00493679344583642,up
157,2017-06-29,13,0,0,5.557317302355765,680.5199999999999,175315,782189,719,7,2,4,-0.00928599689092655,down
158,2017-06-30,7,0,0,5.541471445221445,509.0,114920,500552,535,3,2,2,-0.002383516843731395,down
159,2017-07-03,10,1,0,5.857017438117437,558.1199999999999,160067,712753,566,9,0,1,-0.0009788158644780808,down
160,2017-07-05,5,0,0,6.192371794871796,265.0,102463,509233,256,4,0,0,0.0007240515303739832,up
161,2017-07-06,4,0,0,5.782404428904428,205.35999999999996,90241,359124,201,3,1,0,-0.0056489706092535215,down
162,2017-07-07,7,0,0,5.799376433090719,418.26,127446,589625,419,5,0,2,0.0048310815337674635,up
163,2017-07-10,11,6,1,5.265391414141413,629.85,169734,417038,691,5,3,3,0.0012043348915684792,up
164,2017-07-11,7,3,0,5.6279740259740265,306.26,105932,380320,325,4,0,3,-0.0007498172601881825,down
165,2017-07-12,14,2,0,5.685082270670506,879.0600000000002,215771,912673,905,9,2,3,0.003079133737041979,up
