index,month,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,delta_avg,retweets,favorites,word_count,positive,negative,neutral,s&p_%change,s&p_up/down
27,2019-03-01,42,9,0,5.492289758172293,4142.12,-0.04267082555590983,795090,3009110,4403,19,3,20,0.012929623608922532,up
28,2019-04-01,39,14,1,5.4453374568331,3160.04,-0.08962312689510245,626612,2363644,3373,14,4,21,0.034121735357783706,up
29,2019-05-01,61,19,5,5.493980384407385,5309.809999999999,-0.04098019932081608,785883,2784607,5583,33,3,25,-0.0678345624333676,down
30,2019-06-01,51,13,8,5.628731278815911,4711.08,0.09377069508770737,712601,2693676,4876,33,4,14,0.06913607301939424,up
31,2019-07-01,74,11,4,5.468102174944724,7153.729999999998,-0.06685840878347944,1133670,4966771,7618,40,10,24,0.0030187591970311533,up
32,2019-08-01,62,23,4,5.519541017320949,5142.540000000001,-0.015419566407252555,714503,2354087,5476,30,5,27,-0.01807192038811584,down
33,2019-09-01,71,22,4,5.52332632796293,6223.020000000001,-0.011634255765272383,847275,2894375,6633,33,4,34,0.0232828280986218,up
34,2019-10-01,77,32,1,5.494050369738865,6298.21,-0.0409102139893372,1170413,3501913,6669,40,4,33,0.01805486463581566,up
35,2019-11-01,78,43,1,5.529071265316327,5849.570000000001,-0.005889318411874581,1083744,2503257,6185,40,5,33,0.0295864615100722,up
36,2019-12-01,96,49,3,5.440532038948586,6955.910000000002,-0.09442854477961639,1169920,3510644,7410,43,9,44,0.027650787502655327,up
37,2020-01-01,68,33,8,5.433572334651425,5398.59,-0.10138824907677685,1156719,3847312,5749,27,10,31,-0.005901956889407166,down
38,2020-02-01,74,41,6,5.539862823331671,5340.36,0.004902239603468176,954080,2705806,5610,40,7,27,-0.08698069285842798,down
39,2020-03-01,56,30,3,5.344523102718336,4285.179999999999,-0.19043748100986774,793199,2470289,4644,19,12,25,-0.13101992320844785,down
40,2020-04-01,54,30,3,5.361461563083882,4451.830000000001,-0.17349902064432218,851766,2940405,4806,19,5,30,0.16586732252864156,up
41,2020-05-01,62,19,5,5.439078685102369,5299.289999999999,-0.09588189862583305,1356302,4602968,5679,27,5,28,0.06107161700249825,up
42,2020-06-01,95,47,0,5.4182766044422594,6938.160000000003,-0.11668397928594325,1892940,6132818,7460,39,16,40,0.020241679033359203,up
43,2020-07-01,79,34,6,5.308423754209814,6483.379999999999,-0.22653682951838838,1560616,4903552,7007,30,20,29,0.05318881334636043,up
44,2020-08-01,68,30,0,5.445705587842849,5427.529999999998,-0.08925499588535289,1255596,4242666,5859,29,12,27,0.06448700782636724,up
45,2020-09-01,85,46,1,5.373209709766975,6109.94,-0.16175087396122872,1467909,3632098,6582,30,13,42,-0.041181016191204865,down
46,2020-10-01,64,19,2,5.470781688601821,5446.210000000001,-0.0641788951263836,1633691,6020883,5813,29,7,28,-0.03423349153826988,down
